AGIL01785;101547;20/05/2006;33393.31;19602.33;20978.19;;01119/0001;045;101547;12/07/2006;60;1196.40;179.46;
AGIL01785;102760;20/06/2006;33449.08;33449.08;34579.66;;01119/0001;046;102760;;29;986.73;143.85;
AGIL01794;102371;06/06/2006;59175.31;3360.73;3508.92;;01428/0001;027;102371;14/06/2006;43;128.86;19.33;
AGIL01794;103574;06/07/2006;58996.44;58996.44;59781.17;;01428/0001;028;103574;;13;683.87;100.86;
AGIL01794;102372;06/06/2006;63721.30;842.71;882.06;;01428/0002;002;102372;14/06/2006;43;34.22;5.13;
AGIL01794;103575;06/07/2006;68669.16;68669.16;69636.72;;01428/0002;003;103575;;13;843.10;124.46;
AGIL01809;102754;20/06/2006;45423.28;33.58;34.61;;01085/0003;022;102754;19/06/2006;29;0.90;0.13;
AGIL01816;91425;06/09/2005;19852.71;5788.42;8000.56;;01157/0001;035;91425;12/07/2006;316;1943.97;268.17;
AGIL01825;103488;06/07/2006;68529.35;579.84;588.74;;01284/0002;010;103488;07/07/2006;13;7.75;1.15;
AGIL01837;103432;06/07/2006;2084.61;2084.61;2120.04;;01082/0002;023;103432;;13;30.86;4.57;
AGIL01837;103433;06/07/2006;1739.67;1739.67;1766.35;;01082/0003;009;103433;;13;23.24;3.44;
AGIL01839;103436;06/07/2006;23873.25;26.89;27.28;;01101/0003;010;103436;07/07/2006;13;0.34;0.05;
AGIL01841;103441;06/07/2006;18771.62;14271.62;14488.24;;01115/0001;046;103441;06/07/2006;13;188.73;27.89;
AGIL01847;103452;06/07/2006;19714.18;2042.04;2075.56;;01172/0001;044;103452;10/07/2006;13;29.20;4.32;
AGIL01860;102815;20/06/2006;51251.83;2701.11;2773.74;;01344/0001;034;102815;22/06/2006;29;63.45;9.18;
AGIL01874;103096;30/06/2006;27670.14;483.21;492.27;;01116/0002;008;103096;30/06/2006;19;7.91;1.15;
AGIL01889;102759;20/06/2006;2418.41;286.86;298.30;;01117/0002;017;102759;10/07/2006;29;9.98;1.46;
AGIL01893;102241;06/06/2006;51254.55;23529.74;24679.71;;01136/0001;045;102241;17/07/2006;43;999.97;150.00;
AGIL01893;103446;06/07/2006;51208.37;51208.37;51963.51;;01136/0001;046;103446;;13;657.94;97.20;
AGIL01905;102769;20/06/2006;45467.42;25201.28;26115.18;;01164/0001;044;102769;11/07/2006;29;797.42;116.48;
AGIL01910;103442;06/07/2006;2178.40;211.98;215.32;;01128/0002;003;103442;06/07/2006;13;2.91;0.43;
AGIL01916;102771;20/06/2006;3214.89;70.16;73.14;;01170/0003;013;102771;28/06/2006;29;2.60;0.38;
AGIL01924;102772;20/06/2006;10122.33;10122.33;10458.65;;01179/0005;003;102772;;29;293.55;42.77;
AGIL01928;70107;06/02/2004;24375.67;9277.49;19559.25;;01156/0001;016;70107;09/06/2004;894;9049.76;1232.00;
AGIL01928;71162;06/03/2004;23763.09;23763.09;49258.10;;01156/0001;017;71162;;865;22427.87;3067.14;
AGIL01928;72233;06/04/2004;24352.15;24352.15;49550.66;;01156/0001;018;72233;;834;22160.13;3038.38;
AGIL01928;73307;06/05/2004;19436.27;19436.27;38820.50;;01156/0001;019;73307;;804;17050.53;2333.70;
AGIL01928;74388;06/06/2004;19719.55;19719.55;38618.37;;01156/0001;020;74388;;773;16632.04;2266.78;
AGIL01928;75476;06/07/2004;19452.23;19452.23;37361.42;;01156/0001;021;75476;;743;15769.84;2139.35;
AGIL01928;76579;06/08/2004;19509.83;19509.83;36721.04;;01156/0001;022;76579;;712;15156.62;2054.59;
AGIL01928;77703;06/09/2004;19390.32;19390.32;35754.85;;01156/0001;023;77703;;681;14407.91;1956.62;
AGIL01928;78819;06/10/2004;18940.98;18940.98;34238.94;;01156/0001;024;78819;;651;13454.03;1843.93;
AGIL01928;79920;06/11/2004;17105.16;17105.16;30274.60;;01156/0001;025;79920;;620;11571.45;1597.99;
AGIL01928;81018;06/12/2004;18478.59;18478.59;32031.81;;01156/0001;026;81018;;590;11895.69;1657.53;
AGIL01928;82136;06/01/2005;18738.28;18738.28;31769.81;;01156/0001;027;82136;;559;11429.06;1602.47;
AGIL01928;83272;06/02/2005;18960.03;18960.03;31407.13;;01156/0001;028;83272;;528;10923.00;1524.10;
AGIL01928;84415;06/03/2005;18346.57;18346.57;29749.60;;01156/0001;029;84415;;500;10009.07;1393.96;
AGIL01928;85569;06/04/2005;18659.55;18659.55;29547.11;;01156/0001;030;85569;;469;9548.67;1338.89;
AGIL01928;86722;06/05/2005;18574.82;18574.82;28721.52;;01156/0001;031;86722;;439;8897.30;1249.40;
AGIL01928;87895;06/06/2005;18744.06;18744.06;28258.01;;01156/0001;032;87895;;408;8344.36;1169.59;
AGIL01928;89063;06/07/2005;18608.27;18608.27;27344.49;;01156/0001;033;89063;;378;7674.79;1061.43;
AGIL01928;90241;06/08/2005;18608.58;18608.58;26629.87;;01156/0001;034;90241;;347;7045.50;975.79;
AGIL01928;91424;06/09/2005;18600.89;18600.89;25901.03;;01156/0001;035;91424;;316;6413.42;886.72;
AGIL01928;92609;06/10/2005;18422.15;18422.15;24966.90;;01156/0001;036;92609;;286;5748.78;795.97;
AGIL01928;93805;06/11/2005;16910.36;16910.36;22268.20;;01156/0001;037;93805;;255;4705.03;652.81;
AGIL01928;95002;06/12/2005;16722.27;16722.27;21405.30;;01156/0001;038;95002;;225;4105.32;577.71;
AGIL01928;96193;06/01/2006;19194.16;19194.16;23838.93;;01156/0001;039;96193;;194;4062.93;581.84;
AGIL01928;97398;06/02/2006;19161.69;19161.69;23073.41;;01156/0001;040;97398;;163;3407.93;503.79;
AGIL01928;98605;06/03/2006;18879.26;18879.26;22077.31;;01156/0001;041;98605;;135;2780.91;417.14;
AGIL01928;99820;06/04/2006;19113.30;19113.30;21607.52;;01156/0001;042;99820;;104;2168.89;325.33;
AGIL01928;101031;06/05/2006;19062.27;19062.27;20832.27;;01156/0001;043;101031;;74;1539.13;230.87;
AGIL01928;102243;06/06/2006;19045.29;19045.29;20072.88;;01156/0001;044;102243;;43;893.56;134.03;
AGIL01928;103448;06/07/2006;18980.42;18980.42;19289.48;;01156/0001;045;103448;;13;269.23;39.83;
AGIL01938;94341;20/11/2005;39910.95;39910.95;51793.15;;01199/0001;036;94341;22/06/2006;241;10436.11;1446.09;
AGIL01941;102942;20/06/2006;17900.01;17684.78;18370.67;;01653/0001;014;102942;17/07/2006;29;598.34;87.55;
AGIL01976;101562;20/05/2006;14615.65;591.12;635.62;;01188/0001;042;101562;22/06/2006;60;38.70;5.80;
AGIL01976;102774;20/06/2006;14629.73;14629.73;15160.27;;01188/0001;043;102774;;29;462.92;67.62;
AGIL02050;103465;06/07/2006;49766.88;205.00;207.21;;01225/0002;033;103465;11/07/2006;13;1.93;0.28;
AGIL02050;103466;06/07/2006;10411.70;50.62;51.26;;01225/0004;029;103466;11/07/2006;13;0.56;0.08;
AGIL02056;102273;06/06/2006;7934.79;936.00;982.29;;01238/0003;033;102273;06/07/2006;43;40.25;6.04;
AGIL02056;103478;06/07/2006;7910.72;7910.72;8028.75;;01238/0003;034;103478;;13;102.84;15.19;
AGIL02082;102789;20/06/2006;56959.21;27453.63;28432.43;;01261/0002;018;102789;10/07/2006;29;854.10;124.70;
AGIL02086;102381;06/06/2006;56629.18;6545.56;6887.22;;01446/0001;025;102381;12/07/2006;43;297.10;44.56;
AGIL02086;103584;06/07/2006;59375.94;59375.94;60311.19;;01446/0001;026;103584;;13;814.77;120.48;
AGIL02089;73394;06/05/2004;16283.36;16283.36;32121.64;;01272/0001;012;73394;;804;13935.52;1902.76;
AGIL02089;74474;06/06/2004;14668.05;14668.05;28377.90;;01272/0001;013;74474;;773;12069.10;1640.75;
AGIL02089;75562;06/07/2004;16525.17;16525.17;31362.95;;01272/0001;014;75562;;743;13069.46;1768.32;
AGIL02089;76666;06/08/2004;16589.64;16589.64;30862.49;;01272/0001;015;76666;;712;12573.03;1699.82;
AGIL02089;77789;06/09/2004;16473.94;16473.94;30033.14;;01272/0001;016;77789;;681;11941.74;1617.46;
AGIL02089;78904;06/10/2004;16007.50;16007.50;28616.62;;01272/0001;017;78904;;651;11092.45;1516.67;
AGIL02089;80003;06/11/2004;16269.97;16269.97;28487.04;;01272/0001;018;80003;;620;10737.46;1479.61;
AGIL02089;81098;06/12/2004;16030.92;16030.92;27498.83;;01272/0001;019;81098;;590;10067.77;1400.14;
AGIL02089;82214;06/01/2005;16303.55;16303.55;27362.36;;01272/0001;020;82214;;559;9701.01;1357.80;
AGIL02089;83349;06/02/2005;16547.15;16547.15;27142.29;;01272/0001;021;83349;;528;9299.94;1295.20;
AGIL02089;84492;06/03/2005;15914.24;15914.24;25561.47;;01272/0001;022;84492;;500;8469.91;1177.32;
AGIL02089;85643;06/04/2005;16245.54;16245.54;25490.91;;01272/0001;023;85643;;469;8110.17;1135.20;
AGIL02089;86794;06/05/2005;14110.31;14110.31;21628.26;;01272/0001;024;86794;;439;6593.62;924.33;
AGIL02089;87966;06/06/2005;14311.38;14311.38;21396.37;;01272/0001;025;87966;;408;6215.34;869.65;
AGIL02089;89133;06/07/2005;15787.18;15787.18;23015.95;;01272/0001;026;89133;;378;6352.13;876.64;
AGIL02089;90313;06/08/2005;15802.17;15802.17;22445.58;;01272/0001;027;90313;;347;5836.72;806.69;
AGIL02089;91496;06/09/2005;15814.09;15814.09;21867.28;;01272/0001;028;91496;;316;5319.30;733.89;
AGIL02089;92680;06/10/2005;15603.64;15603.64;21010.21;;01272/0001;029;92680;;286;4750.23;656.34;
AGIL02089;93875;06/11/2005;15716.31;15716.31;20572.92;;01272/0001;030;93875;;255;4265.93;590.68;
AGIL02089;95064;06/12/2005;15470.72;15470.72;19696.51;;01272/0001;031;95064;;225;3705.24;520.55;
AGIL02089;96248;06/01/2006;15575.38;15575.38;19251.79;;01272/0001;032;96248;;194;3216.35;460.06;
